Date,Amount,Category,Description
01/10/2023,18.5,Rent,Weekly share house rent portion
01/10/2023,5.2,Coffee,Flat white at uni cafe
02/10/2023,42.3,Groceries,Woolworths weekly shop
02/10/2023,4.8,Transport,SmartRider top up
03/10/2023,15,Eating Out,Lunch with classmates
03/10/2023,6.1,Coffee,Coffee before lecture
04/10/2023,60,Subscriptions,Spotify + Netflix bundle
05/10/2023,25.9,Eating Out,Dinner at Boost Juice and Subway
06/10/2023,4.8,Transport,Bus fare
07/10/2023,38.75,Groceries,Coles top up
08/10/2023,18.5,Rent,Weekly share house rent portion
08/10/2023,12,Entertainment,Cinema ticket
09/10/2023,5.2,Coffee,Flat white at uni cafe
10/10/2023,9.9,Eating Out,Sushi takeaway
11/10/2023,4.8,Transport,SmartRider top up
12/10/2023,55,Groceries,Big weekly shop before assignment week
13/10/2023,6.1,Coffee,Coffee before lecture
14/10/2023,18,Entertainment,Live music gig ticket
15/10/2023,18.5,Rent,Weekly share house rent portion
15/10/2023,4.8,Transport,Bus fare
16/10/2023,32.4,Eating Out,Dinner with friends
17/10/2023,45,Groceries,Coles weekly shop
18/10/2023,5.2,Coffee,Flat white at uni cafe
19/10/2023,4.8,Transport,SmartRider top up
20/10/2023,15.5,Eating Out,Lunch on campus
22/10/2023,18.5,Rent,Weekly share house rent portion
23/10/2023,40,Groceries,Woolworths weekly shop
24/10/2023,6.1,Coffee,Coffee before lecture
25/10/2023,4.8,Transport,Bus fare
27/10/2023,22,Entertainment,Bowling with friends
29/10/2023,18.5,Rent,Weekly share house rent portion
30/10/2023,48.9,Groceries,End of month shop
